ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-70597-8,TT359,Hardcover,ESP,02-06-2021,277,15,27.99
989-28-654-6930-3,NP937,Hardcover,PP,18-08-2021,394,6,30.99
989-28-79-52883-6,PA169,Hardcover,PP,08-09-2021,384,10,27.99
989-28-79-43574-5,TM925,Graphic,ESP,15-09-2021,187,8,23.99
989-28-654-5794-2,HS107,Hardcover,PP,29-09-2021,640,3,26.99
989-28-79-44730-4,DR914,Mass market paperback,ESP,05-01-2021,575,4,8.99
989-28-654-5771-3,HS107,Trade paperback,PP,12-01-2021,631,5,15.99
989-28-79-04510-4,TT359,Mass market paperback,ESP,16-02-2021,264,25,8.99
989-28-79-18127-7,AY135,Hardcover,ESP,24-04-2021,704,15,27.99
989-28-79-68089-3,BB194,Hardcover,ESP,18-05-2021,401,10,21.5
989-28-79-22871-2,TI225,Mass market paperback,ESP,13-07-2021,452,15,8.99
989-28-79-01991-4,PA169,Trade paperback,PP,07-09-2021,356,16,12.5
989-28-654-0047-4,NP937,Trade paperback,PP,18-04-2021,371,6,15.99
989-28-79-67891-3,SS361,Hardcover,ESP,25-07-2021,105,14,27.99
989-28-654-2620-7,NC652,Hardcover,PP,12-09-2021,390,4,32.99
989-28-3705-054-6,HP265,Paperback,CHP,06-03-2021,28,18,7.99
989-28-79-45675-7,SS361,Trade paperback,ESP,03-07-2021,105,20,12.5
989-28-79-82749-6,NR695,Hardcover,ESP,10-07-2021,384,5,22.99
989-28-79-30536-9,NB483,Mass market paperback,ESP,26-07-2021,311,22,8.99
989-28-229-1404-4,TS869,Mass market paperback,SSC,11-12-2021,381,11,9.5
989-28-229-7592-2,MW621,Mass market paperback,SSC,05-03-2021,362,13,9.5
989-28-3705-222-9,AK974,Trade paperback,CHP,23-07-2021,256,35,11.99
989-28-79-69807-2,NR695,Mass market paperback,ESP,24-09-2021,414,12,8.99
