BookID,BookID1,BookID2,Genre,SeriesID,Volume Number,Staff Comment
MM424,MM,424,Young Adult,,0,Would you want to live forever? Doesn't that depend on what sort of life you'd have—and who you'd spend it with? 
NR695,NR,695,Mystery,IR-ESP,1,
AM124,AM,124,Fiction,,0,"""This graphic novel is better than years of marriage counceling"""
AK974,AK,974,Young Adult,,0,
AD222,AD,222,Childrens,,0,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?"
AY135,AY,135,Fiction,,0,
BB194,BB,194,SciFi/Fantasy,,0,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out…
BF889,BF,889,Childrens,BS-CHP,1,"Glug glug glug, BANANA SLUG! "
BC244,BC,244,Childrens,BS-CHP,2,Can Banana Slug find Farmer Fern's missing cow before dark?
BR858,BR,858,Childrens,BS-CHP,3,Come play on a rainy day! Bad weather can't stop Banana Slug!
BF374,BF,374,Childrens,BS-CHP,4,
BS284,BS,284,Romance,EL-SSC,7,Book Seven of Esme's Ladies
CH391,CH,391,Young Adult,,0,
CC830,CC,830,SciFi/Fantasy,,0,
CP573,CP,573,SciFi/Fantasy,,0,"As someone who hates prophecy, Lydan seems an unlikely guardian of the Prophetic Vaults of Yu'ul. But it was prophecied that someone matching her description would someday save Yu'ul from its doom. The Elders don't take such things lightly. But what, Lydan asks herself, does it mean to save something? Especially when the cost is...concerning. "
DY800,DY,800,Fiction,MT-ESP,3,"""The best beach-book I've ever read"" ""Easy and fun without being vapid"" "
DE571,DE,571,Nonfiction,,0,
DR914,DR,914,SciFi/Fantasy,,0,
